Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,AvgVTAT (min),AvgCTAT (min),Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value (INR),Payment_Mode,Ride Distance (km),Driver Ratings,Customer Rating
14-11-2025,21:27:04,BG-20251114-01727,Successful,CUST100442,Bike,Jakkur,Peenya,4.9,2.5,0,NA,0,NA,0,NA,52.12,Cash,1.84,4.1,3.4
23-11-2025,01:13:29,BG-20251123-01728,Successful,CUST102983,Prime SUV,Seshadripuram,Marathahalli,5.4,4.9,0,NA,0,NA,0,NA,138.88,Wallet,0.96,4.8,4.7
17-11-2025,19:48:39,BG-20251117-01729,Cancelled by Driver,CUST107418,eBike,Srirampura,Adugodi,NA,NA,0,NA,1,Customer related issue,0,NA,NA,UPI,NA,NA,NA
18-11-2025,07:25:51,BG-20251118-01730,Incomplete,CUST106063,Prime Sedan,Sirsi Circle,Sirsi Circle,NA,NA,0,NA,0,NA,1,Vehicle Breakdown,NA,Wallet,0.26,NA,NA
19-11-2025,10:36:14,BG-20251119-01731,Successful,CUST104424,Prime Sedan,Cunningham Road,Kudlu Gate,7.9,1.5,0,NA,0,NA,0,NA,204.15,Cash,8.45,4.7,4.1
17-11-2025,15:42:52,BG-20251117-01732,Successful,CUST103918,Bike,Whitefield,Seshadripuram,3.7,3,0,NA,0,NA,0,NA,69.39,UPI,6.68,4.8,5
14-11-2025,17:03:36,BG-20251114-01733,Successful,CUST106397,Prime Plus,Rajajinagar 2,Jayanagar,4.5,3,0,NA,0,NA,0,NA,82.93,Cash,1.2,4.7,4.9
09-11-2025,03:20:41,BG-20251109-01734,Incomplete,CUST100969,Prime Plus,Yeshwanthpur,Malleshwaram,NA,NA,0,NA,0,NA,1,Other Issue,NA,Cash,NA,NA,NA
08-11-2025,06:27:07,BG-20251108-01735,Incomplete,CUST101071,Prime Plus,JP Nagar,Kudlu Gate,NA,NA,0,NA,0,NA,1,Vehicle Breakdown,NA,UPI,0.83,NA,NA
02-11-2025,09:46:41,BG-20251102-01736,Successful,CUST106376,Prime Sedan,JP Nagar,Outer Ring Road,6.4,2.8,0,NA,0,NA,0,NA,159.17,Credit Card,6.31,4.8,4.7
13-11-2025,10:01:09,BG-20251113-01737,Cancelled by Driver,CUST107993,Auto,Rajajinagar 2,Sommanna Halli,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Cash,NA,NA,NA
25-11-2025,22:49:50,BG-20251125-01738,Successful,CUST106483,eBike,Sadashivanagar,Sommanna Halli,4.5,1.7,0,NA,0,NA,0,NA,26.76,Cash,1.46,4.5,4.9
07-11-2025,07:19:30,BG-20251107-01739,Incomplete,CUST100834,Bike,JP Nagar,Ulsoor,NA,NA,0,NA,0,NA,1,Customer Demand,NA,UPI,NA,NA,NA
09-11-2025,03:13:06,BG-20251109-01740,Cancelled by Driver,CUST102999,Prime SUV,Kalyan Nagar,Frazer Town,NA,NA,0,NA,1,Personal & Car related issues,0,NA,NA,UPI,NA,NA,NA
22-11-2025,13:57:11,BG-20251122-01741,Cancelled by Driver,CUST107703,Auto,Adugodi,Whitefield 2,NA,NA,0,NA,1,Personal & Car related issues,0,NA,NA,Credit Card,NA,NA,NA
22-11-2025,01:28:42,BG-20251122-01742,Incomplete,CUST102032,Auto,Frazer Town,Kudlu Gate,NA,NA,0,NA,0,NA,1,Customer Demand,NA,UPI,NA,NA,NA
11-11-2025,18:08:14,BG-20251111-01743,Successful,CUST104452,Prime SUV,Hebbal,Gottigere,5.6,3,0,NA,0,NA,0,NA,258.8,UPI,7.99,5,4.4
14-11-2025,22:04:28,BG-20251114-01744,Incomplete,CUST106817,Mini,Kudlu Gate,Nagarbhavi,NA,NA,0,NA,0,NA,1,Customer Demand,NA,UPI,NA,NA,NA
04-11-2025,08:08:19,BG-20251104-01745,Incomplete,CUST103874,Bike,Kudlu Gate,Banaswadi,NA,NA,0,NA,0,NA,1,Other Issue,NA,UPI,NA,NA,NA
26-11-2025,19:39:53,BG-20251126-01746,Successful,CUST106751,eBike,Whitefield 2,Outer Ring Road,4,4.5,0,NA,0,NA,0,NA,23.99,UPI,0.43,5,4.4
26-11-2025,12:55:01,BG-20251126-01747,Cancelled by Driver,CUST107296,Auto,Rajajinagar,Rajajinagar,NA,NA,0,NA,1,Customer related issue,0,NA,NA,UPI,NA,NA,NA
29-11-2025,15:52:14,BG-20251129-01748,Successful,CUST103012,Bike,Rajajinagar 2,Koramangala,6.3,3.6,0,NA,0,NA,0,NA,23.18,UPI,0.53,4.5,3.8
13-11-2025,02:42:57,BG-20251113-01749,Successful,CUST105762,Auto,Shivajinagar,Peenya,5.7,3.1,0,NA,0,NA,0,NA,27.4,Cash,0.3,4.1,3.8
02-11-2025,03:07:29,BG-20251102-01750,Successful,CUST106369,Prime SUV,HSR Layout,Sommanna Halli,4.4,2.3,0,NA,0,NA,0,NA,113.64,Wallet,0.3,5,5
23-11-2025,05:56:30,BG-20251123-01751,Cancelled by Customer,CUST107935,Bike,Koramangala,Nagarbhavi,NA,NA,1,Change of plans,0,NA,0,NA,NA,Cash,NA,NA,NA
05-11-2025,05:39:29,BG-20251105-01752,Successful,CUST106417,Prime Sedan,Koramangala 4th Block,Peenya,5.9,2.4,0,NA,0,NA,0,NA,115.46,UPI,2.67,4.7,3.6
11-11-2025,03:34:41,BG-20251111-01753,Successful,CUST102499,Prime Plus,Rajajinagar,Kudlu Gate,7.4,5.2,0,NA,0,NA,0,NA,214.31,Wallet,9.7,5,4.1
06-11-2025,02:39:47,BG-20251106-01754,Successful,CUST104204,Prime Sedan,Rajajinagar,Kundalahalli,10.3,3.3,0,NA,0,NA,0,NA,102.33,Credit Card,1.51,4.2,3.8
18-11-2025,20:38:47,BG-20251118-01755,Successful,CUST100026,Mini,Basavanagudi,Adugodi,5.2,3.2,0,NA,0,NA,0,NA,120.05,Credit Card,7.32,4.9,5
21-11-2025,02:10:33,BG-20251121-01756,Cancelled by Driver,CUST105445,Auto,Banashankari,Lalbagh,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Wallet,NA,NA,NA
10-11-2025,13:03:33,BG-20251110-01757,Successful,CUST105852,Prime Plus,Electronic City,Electronic City,10.3,3.5,0,NA,0,NA,0,NA,108.73,Credit Card,1.99,4.3,4.3
04-11-2025,17:40:20,BG-20251104-01758,Cancelled by Driver,CUST106720,Prime SUV,Malleshwaram,Hombegowda Nagar,NA,NA,0,NA,1,Customer related issue,0,NA,NA,Credit Card,NA,NA,NA
09-11-2025,04:22:34,BG-20251109-01759,Incomplete,CUST104858,Prime Plus,Kudlu Gate,Cunningham Road,NA,NA,0,NA,0,NA,1,Vehicle Breakdown,NA,UPI,1.86,NA,NA
06-11-2025,21:41:53,BG-20251106-01760,Incomplete,CUST104840,Prime SUV,Whitefield 2,Richmond Town,NA,NA,0,NA,0,NA,1,Other Issue,NA,UPI,NA,NA,NA
02-11-2025,09:48:02,BG-20251102-01761,Incomplete,CUST105527,Prime SUV,Bellandur,Peenya,NA,NA,0,NA,0,NA,1,Other Issue,NA,Wallet,NA,NA,NA
17-11-2025,10:12:17,BG-20251117-01762,Cancelled by Driver,CUST101510,eBike,Frazer Town,Cunningham Road,NA,NA,0,NA,1,The customer was coughing/sick,0,NA,NA,Cash,NA,NA,NA
05-11-2025,06:42:04,BG-20251105-01763,Successful,CUST103599,Prime Plus,Gottigere,Indiranagar,8.1,3.1,0,NA,0,NA,0,NA,92.19,UPI,0.59,4.5,4.1
25-11-2025,19:28:22,BG-20251125-01764,Cancelled by Customer,CUST107049,Prime Plus,Electronic City,Domlur,NA,NA,1,Wrong Address,0,NA,0,NA,NA,UPI,NA,NA,NA
06-11-2025,00:36:36,BG-20251106-01765,Successful,CUST103625,Mini,Sommanna Halli,Lalbagh,3.7,2.7,0,NA,0,NA,0,NA,54.95,Cash,1.53,3.8,4.6
26-11-2025,17:05:27,BG-20251126-01766,Successful,CUST107099,Mini,Jakkur,Koramangala 4th Block,6.8,2.9,0,NA,0,NA,0,NA,69.76,Cash,1.49,4.8,3.7
12-11-2025,23:43:15,BG-20251112-01767,Successful,CUST107261,Prime SUV,Chamarajpet,Chamarajpet,4.8,4.8,0,NA,0,NA,0,NA,193.39,Cash,4.53,3.9,4.9
23-11-2025,03:09:05,BG-20251123-01768,Cancelled by Driver,CUST100424,Auto,Koramangala,Indiranagar,NA,NA,0,NA,1,Personal & Car related issues,0,NA,NA,Cash,NA,NA,NA
21-11-2025,09:27:57,BG-20251121-01769,Successful,CUST102127,Prime Sedan,Koramangala,Bellandur,6.4,4.3,0,NA,0,NA,0,NA,109.62,Wallet,2.59,4.3,4
10-11-2025,18:26:40,BG-20251110-01770,Successful,CUST107835,eBike,Cunningham Road,Cunningham Road,1.8,5,0,NA,0,NA,0,NA,40.82,Credit Card,4.39,5,4
22-11-2025,03:20:55,BG-20251122-01771,Incomplete,CUST102606,Prime Sedan,Ulsoor,Adugodi,NA,NA,0,NA,0,NA,1,Vehicle Breakdown,NA,Wallet,1.62,NA,NA
21-11-2025,23:41:23,BG-20251121-01772,Successful,CUST100438,eBike,Peenya,Jayanagar,4.1,4,0,NA,0,NA,0,NA,47.87,Wallet,6.63,4.8,4.3
27-11-2025,12:21:24,BG-20251127-01773,Cancelled by Customer,CUST105014,eBike,Indiranagar,Bellandur,NA,NA,1,Driver is not moving towards pickup location,0,NA,0,NA,NA,Wallet,NA,NA,NA
25-11-2025,21:31:54,BG-20251125-01774,Successful,CUST105905,Prime Sedan,Yeshwanthpur,Kalyan Nagar,6.9,4,0,NA,0,NA,0,NA,150.9,Wallet,4.62,4.3,4.6
06-11-2025,09:56:11,BG-20251106-01775,Cancelled by Driver,CUST102143,Prime SUV,Ulsoor,Basavanagudi,NA,NA,0,NA,1,Personal & Car related issues,0,NA,NA,UPI,NA,NA,NA
27-11-2025,16:00:54,BG-20251127-01776,Cancelled by Driver,CUST100272,Mini,Electronic City,Koramangala,NA,NA,0,NA,1,Customer related issue,0,NA,NA,Credit Card,NA,NA,NA
08-11-2025,12:55:40,BG-20251108-01777,Incomplete,CUST107490,Mini,Shivajinagar,Whitefield 2,NA,NA,0,NA,0,NA,1,Vehicle Breakdown,NA,Cash,0.83,NA,NA
02-11-2025,23:05:51,BG-20251102-01778,Successful,CUST101716,Auto,Whitefield 2,Cunningham Road,4.4,5.3,0,NA,0,NA,0,NA,36.83,Credit Card,0.34,4.3,4.4
12-11-2025,08:09:37,BG-20251112-01779,Successful,CUST104797,eBike,Whitefield 2,Yeshwanthpur,4.6,3.5,0,NA,0,NA,0,NA,91.41,UPI,12.09,4.2,4.2
13-11-2025,13:46:13,BG-20251113-01780,Cancelled by Driver,CUST101855,Mini,Richmond Town,Richmond Town,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Cash,NA,NA,NA
25-11-2025,11:52:13,BG-20251125-01781,Cancelled by Driver,CUST107887,Mini,Byatarayanapura,Outer Ring Road,NA,NA,0,NA,1,Personal & Car related issues,0,NA,NA,Credit Card,NA,NA,NA
21-11-2025,03:16:00,BG-20251121-01782,Successful,CUST103504,Bike,MG Road,MG Road,5,2.3,0,NA,0,NA,0,NA,68.84,UPI,8.44,5,4.9
07-11-2025,07:09:22,BG-20251107-01783,Successful,CUST103372,Prime SUV,Yelahanka,Yelahanka New Town,8.9,2.8,0,NA,0,NA,0,NA,133.82,UPI,1.14,3.9,4.3
10-11-2025,14:09:46,BG-20251110-01784,Successful,CUST105280,Mini,Rajajinagar,Rajajinagar,8.1,5.1,0,NA,0,NA,0,NA,115.29,Cash,5.5,4.8,4.9
13-11-2025,09:32:12,BG-20251113-01785,Successful,CUST101049,Prime Sedan,Rajajinagar,Kengeri,5.9,4.7,0,NA,0,NA,0,NA,87.81,Credit Card,0.3,4.5,5
17-11-2025,11:08:20,BG-20251117-01786,Successful,CUST107506,Prime SUV,Koramangala,Koramangala,8.3,4.5,0,NA,0,NA,0,NA,133.55,Cash,0.68,4.4,4.9
26-11-2025,01:22:24,BG-20251126-01787,Cancelled by Driver,CUST106770,Bike,Srirampura,Koramangala 4th Block,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Wallet,NA,NA,NA
21-11-2025,13:33:45,BG-20251121-01788,Successful,CUST101701,Prime SUV,Frazer Town,Yelahanka New Town,10,3.4,0,NA,0,NA,0,NA,148.63,UPI,1.44,4.4,4.1
28-11-2025,03:51:17,BG-20251128-01789,Cancelled by Customer,CUST103716,Auto,Banaswadi,Banaswadi,NA,NA,1,Change of plans,0,NA,0,NA,NA,Cash,NA,NA,NA
30-11-2025,08:19:50,BG-20251130-01790,Successful,CUST104935,Mini,Jakkur,Bommanahalli,8.5,3.6,0,NA,0,NA,0,NA,57.3,Cash,0.3,4,3.5
26-11-2025,15:21:23,BG-20251126-01791,Cancelled by Customer,CUST103989,eBike,Peenya,Seshadripuram,NA,NA,1,Driver asked to cancel,0,NA,0,NA,NA,UPI,NA,NA,NA
14-11-2025,00:54:18,BG-20251114-01792,Cancelled by Driver,CUST100998,Prime Sedan,Hombegowda Nagar,Nagarbhavi,NA,NA,0,NA,1,Customer related issue,0,NA,NA,Credit Card,NA,NA,NA
02-11-2025,08:47:09,BG-20251102-01793,Successful,CUST107498,Bike,Sommanna Halli,Peenya,3.2,3.3,0,NA,0,NA,0,NA,34.65,Wallet,1,5,5
28-11-2025,10:26:19,BG-20251128-01794,Incomplete,CUST100458,Prime Sedan,Vijayanagar,Banaswadi,NA,NA,0,NA,0,NA,1,Other Issue,NA,UPI,NA,NA,NA
22-11-2025,06:22:38,BG-20251122-01795,Cancelled by Customer,CUST107866,Prime SUV,Rajajinagar 2,Richmond Town,NA,NA,1,Change of plans,0,NA,0,NA,NA,Cash,NA,NA,NA
11-11-2025,10:57:45,BG-20251111-01796,Successful,CUST101701,Auto,Lalbagh,Kalyan Nagar,2.9,3,0,NA,0,NA,0,NA,41.8,Cash,1.6,4.5,5
01-11-2025,23:50:53,BG-20251101-01797,Successful,CUST103789,Prime Sedan,Sahakara Nagar,Adugodi,7.9,1.6,0,NA,0,NA,0,NA,102.63,Wallet,1.33,4.5,4.4
19-11-2025,04:22:55,BG-20251119-01798,Cancelled by Customer,CUST107593,Prime SUV,Bommanahalli,Richmond Town,NA,NA,1,Driver is not moving towards pickup location,0,NA,0,NA,NA,UPI,NA,NA,NA
21-11-2025,21:16:15,BG-20251121-01799,Successful,CUST106567,Prime SUV,Nagarbhavi,Yeshwanthpur,7.4,3.3,0,NA,0,NA,0,NA,139.59,Cash,1.8,4.8,5
04-11-2025,09:30:07,BG-20251104-01800,Cancelled by Customer,CUST101800,Bike,Nagarbhavi,Hombegowda Nagar,NA,NA,1,Driver asked to cancel,0,NA,0,NA,NA,Cash,NA,NA,NA
19-11-2025,06:15:53,BG-20251119-01801,Successful,CUST103473,Prime SUV,Sadashivanagar,Ulsoor,7.5,2.6,0,NA,0,NA,0,NA,92.14,UPI,0.3,3.6,4.7
26-11-2025,14:53:52,BG-20251126-01802,Cancelled by Driver,CUST101065,Mini,JP Nagar,Outer Ring Road,NA,NA,0,NA,1,Personal & Car related issues,0,NA,NA,Credit Card,NA,NA,NA
29-11-2025,00:00:55,BG-20251129-01803,Successful,CUST105295,Bike,Malleshwaram,Malleshwaram,3.7,2.3,0,NA,0,NA,0,NA,22.82,Credit Card,0.47,5,4
21-11-2025,09:07:53,BG-20251121-01804,Cancelled by Customer,CUST100675,Bike,Chamarajpet,HSR Layout,NA,NA,1,Change of plans,0,NA,0,NA,NA,Wallet,NA,NA,NA
11-11-2025,22:25:20,BG-20251111-01805,Successful,CUST100637,Mini,Basavanagudi,Kundalahalli,4.1,4.1,0,NA,0,NA,0,NA,51.51,Cash,0.3,4.9,4.7
08-11-2025,18:23:25,BG-20251108-01806,Successful,CUST100795,Prime SUV,Peenya,Koramangala 4th Block,4,1.4,0,NA,0,NA,0,NA,94.53,Wallet,0.54,4.5,4.5
11-11-2025,21:43:19,BG-20251111-01807,Cancelled by Customer,CUST105701,Bike,Chamarajpet,Sommanna Halli,NA,NA,1,Change of plans,0,NA,0,NA,NA,Credit Card,NA,NA,NA
04-11-2025,07:01:58,BG-20251104-01808,Successful,CUST103554,eBike,Outer Ring Road,Whitefield 2,4.4,3.6,0,NA,0,NA,0,NA,22.8,UPI,0.8,4.2,4.1
17-11-2025,09:22:14,BG-20251117-01809,Cancelled by Driver,CUST104434,Auto,Frazer Town,Nagarbhavi,NA,NA,0,NA,1,Customer related issue,0,NA,NA,Cash,NA,NA,NA
27-11-2025,22:50:27,BG-20251127-01810,Successful,CUST107844,Prime SUV,Whitefield 2,Kudlu Gate,4.9,3.6,0,NA,0,NA,0,NA,156.69,UPI,2.24,5,4.8
07-11-2025,05:08:42,BG-20251107-01811,Cancelled by Driver,CUST105786,Auto,Sadashivanagar,Gottigere,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Cash,NA,NA,NA
08-11-2025,03:14:16,BG-20251108-01812,Successful,CUST101586,Prime Plus,Jayanagar,Whitefield 2,12,3.7,0,NA,0,NA,0,NA,79.5,UPI,0.3,5,5
03-11-2025,04:24:53,BG-20251103-01813,Cancelled by Driver,CUST104629,Prime Plus,Kudlu Gate,Sommanna Halli,NA,NA,0,NA,1,Customer related issue,0,NA,NA,UPI,NA,NA,NA
22-11-2025,04:34:53,BG-20251122-01814,Successful,CUST103486,Bike,Nagarbhavi,Malleshwaram,4.5,1.2,0,NA,0,NA,0,NA,40.12,Credit Card,2.18,4.5,4
02-11-2025,01:00:32,BG-20251102-01815,Successful,CUST103390,Prime Plus,Indiranagar,Indiranagar,10.9,4.7,0,NA,0,NA,0,NA,68.57,Cash,0.35,3.9,4.8
23-11-2025,17:09:39,BG-20251123-01816,Successful,CUST106716,Auto,Ulsoor,Electronic City,3.1,1.5,0,NA,0,NA,0,NA,40.87,Cash,1.46,4.8,3.7
15-11-2025,10:40:52,BG-20251115-01817,Incomplete,CUST101063,eBike,Jayanagar,Jayanagar,NA,NA,0,NA,0,NA,1,Customer Demand,NA,Wallet,NA,NA,NA
24-11-2025,03:41:06,BG-20251124-01818,Successful,CUST100638,Mini,Sahakara Nagar,Chamarajpet,6.1,3.7,0,NA,0,NA,0,NA,81.83,Credit Card,2.6,4.8,4.7
22-11-2025,17:06:47,BG-20251122-01819,Successful,CUST103547,eBike,Lalbagh,Bellandur,4.3,4.1,0,NA,0,NA,0,NA,25.57,Credit Card,1.09,4.4,4.5
22-11-2025,04:42:20,BG-20251122-01820,Successful,CUST107561,Prime Sedan,Ulsoor,Bellandur,8.9,5.7,0,NA,0,NA,0,NA,82.17,Wallet,0.62,4.2,5
05-11-2025,06:40:03,BG-20251105-01821,Successful,CUST104645,Bike,Jakkur,Nagarbhavi,5.5,4.9,0,NA,0,NA,0,NA,121.09,Cash,14.85,4.8,4.1
24-11-2025,09:40:15,BG-20251124-01822,Cancelled by Driver,CUST106643,Auto,Richmond Town,Rajajinagar 2,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Credit Card,NA,NA,NA
01-11-2025,08:34:29,BG-20251101-01823,Successful,CUST105077,Prime Sedan,Sahakara Nagar,Indiranagar,4,4.4,0,NA,0,NA,0,NA,105.46,UPI,0.88,4.9,4.7
26-11-2025,13:41:37,BG-20251126-01824,Successful,CUST103588,Mini,Marathahalli,Kudlu Gate,4.8,3.9,0,NA,0,NA,0,NA,66.75,UPI,1.64,4.4,4.3
04-11-2025,16:41:47,BG-20251104-01825,Successful,CUST102546,Auto,Srirampura,Whitefield 2,5.3,2.3,0,NA,0,NA,0,NA,31.42,Wallet,1.16,4.8,3.9
15-11-2025,22:59:53,BG-20251115-01826,Cancelled by Driver,CUST107146,Prime Sedan,Richmond Town,Rajajinagar 2,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Wallet,NA,NA,NA
20-11-2025,04:38:02,BG-20251120-01827,Cancelled by Driver,CUST106279,Auto,Rajajinagar 2,Kudlu Gate,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Wallet,NA,NA,NA
19-11-2025,05:27:02,BG-20251119-01828,Successful,CUST102205,Prime Sedan,Bommanahalli,Bommanahalli,4.9,4.4,0,NA,0,NA,0,NA,125.97,Credit Card,2.65,4.2,5
03-11-2025,08:26:48,BG-20251103-01829,Successful,CUST101568,eBike,Yelahanka New Town,Nagarbhavi,4.8,3.3,0,NA,0,NA,0,NA,38.44,Cash,3.23,5,5
20-11-2025,02:27:17,BG-20251120-01830,Cancelled by Driver,CUST107891,Mini,Marathahalli,Hombegowda Nagar,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,UPI,NA,NA,NA
11-11-2025,17:50:10,BG-20251111-01831,Cancelled by Driver,CUST107935,Auto,Kundalahalli,Bellandur,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Cash,NA,NA,NA
17-11-2025,04:16:47,BG-20251117-01832,Cancelled by Customer,CUST105453,Prime Plus,Sirsi Circle,Sirsi Circle,NA,NA,1,Driver asked to cancel,0,NA,0,NA,NA,Cash,NA,NA,NA
30-11-2025,08:08:29,BG-20251130-01833,Incomplete,CUST104570,eBike,Vijayanagar,Indiranagar,NA,NA,0,NA,0,NA,1,Vehicle Breakdown,NA,Wallet,1.33,NA,NA
27-11-2025,19:58:38,BG-20251127-01834,Successful,CUST100029,Auto,Gottigere,Electronic City,4.4,3.5,0,NA,0,NA,0,NA,43.21,UPI,2.28,4.6,4.3
13-11-2025,05:14:55,BG-20251113-01835,Cancelled by Driver,CUST103782,eBike,Cunningham Road,Marathahalli,NA,NA,0,NA,1,Personal & Car related issues,0,NA,NA,Wallet,NA,NA,NA
11-11-2025,00:06:10,BG-20251111-01836,Cancelled by Driver,CUST100806,Prime Sedan,Shivajinagar,Basavanagudi,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Wallet,NA,NA,NA
02-11-2025,00:08:06,BG-20251102-01837,Successful,CUST106485,Prime Plus,Banashankari,Banaswadi,11,3.8,0,NA,0,NA,0,NA,166.46,Cash,6.67,4.6,4.8
09-11-2025,06:36:02,BG-20251109-01838,Cancelled by Driver,CUST105502,Auto,Banaswadi,Lalbagh,NA,NA,0,NA,1,Personal & Car related issues,0,NA,NA,Cash,NA,NA,NA
26-11-2025,07:23:33,BG-20251126-01839,Successful,CUST105867,eBike,Yeshwanthpur,Jayanagar,1.6,2.1,0,NA,0,NA,0,NA,28.24,Credit Card,1.69,5,4.8
02-11-2025,00:53:16,BG-20251102-01840,Successful,CUST104993,Mini,Kengeri,Koramangala,6.4,6.7,0,NA,0,NA,0,NA,76.34,UPI,0.99,4.9,4.5
21-11-2025,21:12:29,BG-20251121-01841,Incomplete,CUST103363,eBike,Adugodi,Electronic City,NA,NA,0,NA,0,NA,1,Customer Demand,NA,UPI,NA,NA,NA
09-11-2025,18:00:39,BG-20251109-01842,Successful,CUST107341,Prime Sedan,Electronic City,Frazer Town,11.3,3.2,0,NA,0,NA,0,NA,100.04,Credit Card,1.03,5,4
09-11-2025,11:38:36,BG-20251109-01843,Successful,CUST103940,eBike,Shivajinagar,Rajajinagar 2,6.2,2.4,0,NA,0,NA,0,NA,25.38,Credit Card,1.23,4.5,5
08-11-2025,02:22:52,BG-20251108-01844,Incomplete,CUST102687,Mini,Whitefield 2,Basavanagudi,NA,NA,0,NA,0,NA,1,Customer Demand,NA,Wallet,NA,NA,NA
17-11-2025,07:50:25,BG-20251117-01845,Cancelled by Driver,CUST104206,Prime Plus,Hombegowda Nagar,Lalbagh,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Cash,NA,NA,NA
01-11-2025,12:44:13,BG-20251101-01846,Incomplete,CUST100490,Mini,Peenya,Sadashivanagar,NA,NA,0,NA,0,NA,1,Customer Demand,NA,Cash,NA,NA,NA
25-11-2025,13:43:10,BG-20251125-01847,Successful,CUST101295,eBike,Rajankunte,Whitefield 2,3.6,3.7,0,NA,0,NA,0,NA,63.91,UPI,4.5,4.9,4
29-11-2025,08:57:55,BG-20251129-01848,Successful,CUST103829,Bike,Malleshwaram,Outer Ring Road,1.4,3.9,0,NA,0,NA,0,NA,40.5,Cash,4.54,4.1,4.6
11-11-2025,20:06:19,BG-20251111-01849,Successful,CUST105282,Prime Sedan,Srirampura,Koramangala 4th Block,5.4,3.5,0,NA,0,NA,0,NA,191.5,Credit Card,7.05,4.9,5
08-11-2025,00:18:25,BG-20251108-01850,Successful,CUST105252,Auto,Jayanagar,JP Nagar,6.8,3.2,0,NA,0,NA,0,NA,31.75,Cash,1.45,4.5,4.5
10-11-2025,16:38:16,BG-20251110-01851,Incomplete,CUST103927,eBike,Sahakara Nagar,Jakkur,NA,NA,0,NA,0,NA,1,Customer Demand,NA,Wallet,NA,NA,NA
25-11-2025,12:00:09,BG-20251125-01852,Cancelled by Customer,CUST107715,Prime Plus,Basavanagudi,Indiranagar,NA,NA,1,Driver asked to cancel,0,NA,0,NA,NA,Wallet,NA,NA,NA
07-11-2025,11:48:07,BG-20251107-01853,Cancelled by Customer,CUST104120,Mini,Chamarajpet,Bommanahalli,NA,NA,1,Change of plans,0,NA,0,NA,NA,Cash,NA,NA,NA
03-11-2025,05:00:51,BG-20251103-01854,Cancelled by Customer,CUST100545,Prime SUV,Chamarajpet,Electronic City,NA,NA,1,Driver is not moving towards pickup location,0,NA,0,NA,NA,UPI,NA,NA,NA
03-11-2025,21:30:00,BG-20251103-01855,Successful,CUST105259,Prime Plus,Rajajinagar,Yeshwanthpur,8.4,4.4,0,NA,0,NA,0,NA,58.26,Credit Card,0.3,4.6,3.9
18-11-2025,18:36:01,BG-20251118-01856,Successful,CUST106290,eBike,Whitefield 2,Whitefield 2,5.3,3.1,0,NA,0,NA,0,NA,19.8,Credit Card,0.3,4.1,4.7
05-11-2025,16:42:36,BG-20251105-01857,Cancelled by Customer,CUST102507,Auto,Gottigere,Gottigere,NA,NA,1,Change of plans,0,NA,0,NA,NA,Cash,NA,NA,NA
12-11-2025,15:52:55,BG-20251112-01858,Successful,CUST107384,Bike,Rajankunte,Koramangala,4.7,2.2,0,NA,0,NA,0,NA,40.1,UPI,2.07,4.2,4.6
12-11-2025,01:54:09,BG-20251112-01859,Successful,CUST102454,Prime SUV,Hebbal,Kundalahalli,2.8,2.6,0,NA,0,NA,0,NA,134.97,Wallet,0.3,5,3.1
19-11-2025,05:16:16,BG-20251119-01860,Cancelled by Driver,CUST101223,Prime SUV,Jakkur,Ulsoor,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,UPI,NA,NA,NA
30-11-2025,15:47:46,BG-20251130-01861,Successful,CUST101907,Mini,Jakkur,Jakkur,4.4,3.7,0,NA,0,NA,0,NA,51.28,Wallet,0.7,4.5,4.7
06-11-2025,13:04:38,BG-20251106-01862,Successful,CUST102558,Mini,Koramangala 4th Block,Nagarbhavi,4.9,2.7,0,NA,0,NA,0,NA,82.71,UPI,2.55,4.8,4.8
02-11-2025,08:38:33,BG-20251102-01863,Cancelled by Customer,CUST104129,Prime SUV,Jayanagar,Yeshwanthpur,NA,NA,1,Driver asked to cancel,0,NA,0,NA,NA,Wallet,NA,NA,NA
12-11-2025,04:16:41,BG-20251112-01864,Successful,CUST107991,Auto,Jakkur,Gottigere,4.2,3.7,0,NA,0,NA,0,NA,36.33,UPI,0.3,5,4.2
19-11-2025,03:34:44,BG-20251119-01865,Successful,CUST105927,Auto,Cunningham Road,HSR Layout,4,0.8,0,NA,0,NA,0,NA,31.3,Credit Card,0.98,5,4.8
05-11-2025,23:26:00,BG-20251105-01866,Successful,CUST101891,Prime SUV,Outer Ring Road,Nagarbhavi,3.4,2.4,0,NA,0,NA,0,NA,218.7,UPI,5.81,5,5
