Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,AvgVTAT (min),AvgCTAT (min),Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value (INR),Ride Distance (km),Driver Rating,Customer Rating,Payment Mode
2025-11-06,15:34:55,BG-20251106-02389,Incomplete,CUST105171,Prime Plus,Kengeri,Peenya,,,0,,0,,1,Vehicle Breakdown,,4.41,,,UPI
2025-11-09,18:02:27,BG-20251109-02390,Cancelled by Customer,CUST101325,Prime Plus,Marathahalli,Basavanagudi,,,1,Driver is not moving towards pickup location,0,,0,,,,,,Credit Card
2025-11-08,19:41:20,BG-20251108-02391,Cancelled by Customer,CUST105991,Prime Sedan,Adugodi,Bommanahalli,,,1,Driver asked to cancel,0,,0,,,,,,Cash
2025-11-11,01:15:07,BG-20251111-02392,Successful,CUST103371,Prime SUV,Basavanagudi,Bellandur,5.7,4.3,0,,0,,0,,155.06,1.04,4.8,3.7,Credit Card
2025-11-22,12:13:08,BG-20251122-02393,Successful,CUST107701,Prime Plus,Yelahanka New Town,Whitefield,7.2,2.4,0,,0,,0,,160.87,6.98,4.2,3.8,Wallet
2025-11-19,04:41:05,BG-20251119-02394,Successful,CUST101793,Prime Plus,Chamarajpet,Vijayanagar,8.1,3.6,0,,0,,0,,86.76,2.41,4.5,3.5,UPI
2025-11-24,07:33:33,BG-20251124-02395,Cancelled by Customer,CUST103584,eBike,Indiranagar,Indiranagar,,,1,Wrong Address,0,,0,,,,,,UPI
2025-11-09,15:32:34,BG-20251109-02396,Successful,CUST103733,Bike,Sahakara Nagar,HSR Layout,5.5,4.4,0,,0,,0,,21.2,0.99,4.6,4.9,UPI
2025-11-17,15:57:30,BG-20251117-02397,Successful,CUST102708,Auto,Peenya,Seshadripuram,2.9,4.2,0,,0,,0,,50.76,3.39,4.9,5.0,UPI
2025-11-12,01:14:37,BG-20251112-02398,Successful,CUST106235,Bike,Yelahanka,Kundalahalli,5.1,5.8,0,,0,,0,,29.33,1.85,4.7,4.2,Credit Card
2025-11-25,17:17:02,BG-20251125-02399,Cancelled by Driver,CUST107068,Prime SUV,Chamarajpet,Yelahanka,,,0,,1,More than permitted people in there,0,,,,,,Cash
2025-11-14,01:48:53,BG-20251114-02400,Successful,CUST103639,Bike,Byatarayanapura,Kalyan Nagar,4.7,3.4,0,,0,,0,,53.98,3.87,4.5,4.6,Wallet
2025-11-15,13:43:15,BG-20251115-02401,Cancelled by Driver,CUST104687,Auto,Basavanagudi,Rajajinagar 2,,,0,,1,Personal & Car related issues,0,,,,,,Cash
2025-11-16,06:29:56,BG-20251116-02402,Cancelled by Customer,CUST105282,eBike,Rajankunte,Outer Ring Road,,,1,Driver asked to cancel,0,,0,,,,,,Cash
2025-11-22,03:32:35,BG-20251122-02403,Cancelled by Driver,CUST105009,Mini,Byatarayanapura,Banashankari,,,0,,1,More than permitted people in there,0,,,,,,Wallet
2025-11-22,00:14:25,BG-20251122-02404,Successful,CUST105386,eBike,Kundalahalli,Outer Ring Road,2.1,3.9,0,,0,,0,,20.46,0.41,4.5,4.1,Wallet
2025-11-28,03:06:13,BG-20251128-02405,Cancelled by Customer,CUST102978,Auto,Basavanagudi,Yelahanka,,,1,Change of plans,0,,0,,,,,,UPI
2025-11-20,16:21:45,BG-20251120-02406,Successful,CUST105558,Prime SUV,Yeshwanthpur,Banashankari,6.0,2.1,0,,0,,0,,133.85,2.5,4.5,4.5,UPI
2025-11-01,10:34:57,BG-20251101-02407,Successful,CUST104908,Auto,Peenya,Kundalahalli,7.2,4.2,0,,0,,0,,100.05,9.55,5.0,4.4,UPI
2025-11-10,09:16:11,BG-20251110-02408,Successful,CUST102811,Auto,Indiranagar,Yeshwanthpur,5.0,3.4,0,,0,,0,,71.59,4.96,5.0,4.3,Cash
2025-11-08,03:07:34,BG-20251108-02409,Cancelled by Driver,CUST103567,eBike,Hebbal,Jayanagar,,,0,,1,More than permitted people in there,0,,,,,,Credit Card
2025-11-18,01:06:58,BG-20251118-02410,Successful,CUST104372,eBike,Rajajinagar,Basavanagudi,5.5,2.1,0,,0,,0,,22.32,0.72,4.2,4.9,Credit Card
2025-11-28,01:26:32,BG-20251128-02411,Cancelled by Customer,CUST105932,Prime Plus,Cunningham Road,Whitefield 2,,,1,Wrong Address,0,,0,,,,,,Cash
2025-11-01,00:33:35,BG-20251101-02412,Incomplete,CUST105133,eBike,Whitefield 2,JP Nagar,,,0,,0,,1,Customer Demand,,,,,Cash
2025-11-02,19:08:36,BG-20251102-02413,Successful,CUST100632,Prime Plus,Basavanagudi,Rajajinagar,6.7,3.3,0,,0,,0,,70.96,0.58,5.0,4.9,Credit Card
2025-11-01,07:52:23,BG-20251101-02414,Successful,CUST100635,Prime Sedan,Yelahanka New Town,Yeshwanthpur,5.6,1.7,0,,0,,0,,141.68,3.29,4.4,4.9,Wallet
2025-11-01,19:15:06,BG-20251101-02415,Cancelled by Customer,CUST101066,Prime Plus,Seshadripuram,Indiranagar,,,1,Wrong Address,0,,0,,,,,,Cash
2025-11-09,01:37:09,BG-20251109-02416,Successful,CUST102811,Prime Sedan,Hebbal,Seshadripuram,7.8,4.7,0,,0,,0,,153.43,5.8,5.0,4.7,Credit Card
2025-11-13,09:33:01,BG-20251113-02417,Successful,CUST102518,Prime SUV,Chamarajpet,Richmond Town,7.5,4.2,0,,0,,0,,203.98,4.39,4.5,4.9,Cash
2025-11-30,22:31:21,BG-20251130-02418,Successful,CUST103021,Prime Plus,HSR Layout,Yeshwanthpur,9.7,1.7,0,,0,,0,,98.04,2.47,5.0,4.0,Wallet
2025-11-01,05:04:23,BG-20251101-02419,Successful,CUST100418,Prime Plus,Whitefield 2,Sirsi Circle,7.6,4.0,0,,0,,0,,72.11,0.65,3.8,4.4,Cash
2025-11-13,14:47:40,BG-20251113-02420,Cancelled by Customer,CUST100614,Auto,Banaswadi,Peenya,,,1,Change of plans,0,,0,,,,,,Cash
2025-11-20,12:01:46,BG-20251120-02421,Successful,CUST106579,Prime Plus,Hebbal,Frazer Town,6.8,5.0,0,,0,,0,,190.62,9.61,4.9,5.0,UPI
2025-11-26,16:13:38,BG-20251126-02422,Incomplete,CUST105765,Bike,Sahakara Nagar,MG Road,,,0,,0,,1,Customer Demand,,,,,UPI
2025-11-22,00:02:28,BG-20251122-02423,Successful,CUST105968,Bike,Byatarayanapura,MG Road,4.8,2.8,0,,0,,0,,32.72,1.57,3.7,4.4,Wallet
2025-11-07,00:29:14,BG-20251107-02424,Successful,CUST104737,Bike,Rajajinagar 2,Sadashivanagar,3.7,3.0,0,,0,,0,,48.48,2.77,4.4,3.8,Cash
2025-11-02,07:25:45,BG-20251102-02425,Cancelled by Customer,CUST102653,Prime SUV,Rajajinagar,Rajajinagar,,,1,Wrong Address,0,,0,,,,,,UPI
2025-11-06,20:15:14,BG-20251106-02426,Successful,CUST105713,Mini,Malleshwaram,Sahakara Nagar,7.8,3.7,0,,0,,0,,132.03,6.97,4.4,3.8,Cash
2025-11-07,15:30:33,BG-20251107-02427,Successful,CUST106601,Bike,Richmond Town,Koramangala 4th Block,6.5,3.6,0,,0,,0,,38.34,3.68,4.5,4.9,Cash
2025-11-26,05:35:40,BG-20251126-02428,Successful,CUST106659,eBike,JP Nagar,Rajajinagar 2,3.0,6.4,0,,0,,0,,25.38,1.23,4.0,4.8,Wallet
2025-11-14,20:48:27,BG-20251114-02429,Successful,CUST102343,eBike,Kudlu Gate,Kalyan Nagar,5.3,4.3,0,,0,,0,,39.42,3.57,4.5,4.7,Credit Card
2025-11-26,16:50:53,BG-20251126-02430,Successful,CUST104014,Prime SUV,Sommanna Halli,Jakkur,6.9,2.9,0,,0,,0,,187.97,4.05,4.1,5.0,Wallet
2025-11-18,17:05:21,BG-20251118-02431,Cancelled by Customer,CUST104595,Prime SUV,Kalyan Nagar,Hebbal,,,1,Driver asked to cancel,0,,0,,,,,,Cash
2025-11-15,21:45:15,BG-20251115-02432,Cancelled by Customer,CUST104553,Prime Plus,Yelahanka New Town,Yelahanka New Town,,,1,Change of plans,0,,0,,,,,,UPI
2025-11-02,08:37:55,BG-20251102-02433,Cancelled by Driver,CUST103769,Prime Plus,Sahakara Nagar,Koramangala 4th Block,,,0,,1,Customer related issue,0,,,,,,Cash
2025-11-10,08:31:37,BG-20251110-02434,Cancelled by Customer,CUST103613,Prime Plus,Seshadripuram,Sahakara Nagar,,,1,Driver asked to cancel,0,,0,,,,,,Wallet
2025-11-23,15:09:04,BG-20251123-02435,Successful,CUST100114,Bike,Domlur,Ulsoor,3.3,4.6,0,,0,,0,,46.24,1.11,4.0,5.0,UPI
2025-11-12,02:43:15,BG-20251112-02436,Successful,CUST104321,Mini,Kengeri,Nagarbhavi,4.5,1.4,0,,0,,0,,106.18,4.89,4.5,4.6,Wallet
2025-11-17,17:55:55,BG-20251117-02437,Incomplete,CUST101841,Prime SUV,Kengeri,Jayanagar,,,0,,0,,1,Other Issue,,,,,UPI
2025-11-08,14:30:04,BG-20251108-02438,Cancelled by Driver,CUST102648,Auto,Yelahanka,Sommanna Halli,,,0,,1,The customer was coughing/sick,0,,,,,,Wallet
2025-11-11,19:22:34,BG-20251111-02439,Cancelled by Customer,CUST101690,Auto,Kengeri,Koramangala,,,1,Driver asked to cancel,0,,0,,,,,,Credit Card
2025-11-29,18:01:00,BG-20251129-02440,Cancelled by Customer,CUST103485,Prime SUV,Koramangala 4th Block,Bellandur,,,1,AC is not working,0,,0,,,,,,Credit Card
2025-11-03,14:18:49,BG-20251103-02441,Successful,CUST105559,eBike,Jayanagar,Frazer Town,3.1,4.6,0,,0,,0,,25.16,0.39,3.9,3.5,Cash
2025-11-27,03:14:32,BG-20251127-02442,Cancelled by Driver,CUST105835,Mini,Chamarajpet,Whitefield,,,0,,1,More than permitted people in there,0,,,,,,Credit Card
2025-11-06,15:03:58,BG-20251106-02443,Successful,CUST100522,Prime Plus,Cunningham Road,Seshadripuram,4.5,3.3,0,,0,,0,,88.46,2.26,4.9,4.8,Credit Card
2025-11-09,09:59:10,BG-20251109-02444,Successful,CUST100592,Mini,Jayanagar,Kundalahalli,8.1,2.5,0,,0,,0,,102.7,4.82,5.0,4.0,Wallet
2025-11-06,03:03:29,BG-20251106-02445,Successful,CUST103590,Auto,Peenya,Kundalahalli,1.1,2.6,0,,0,,0,,38.01,2.81,4.9,3.6,UPI
2025-11-09,13:04:56,BG-20251109-02446,Incomplete,CUST102173,Prime SUV,Electronic City,Nagarbhavi,,,0,,0,,1,Customer Demand,,,,,Credit Card
2025-11-07,05:25:44,BG-20251107-02447,Successful,CUST100037,Mini,Seshadripuram,Seshadripuram,8.8,1.6,0,,0,,0,,59.85,0.69,5.0,4.4,Credit Card
2025-11-09,15:28:48,BG-20251109-02448,Successful,CUST103302,Prime Sedan,Srirampura,Srirampura,3.7,5.0,0,,0,,0,,170.84,6.5,4.0,5.0,UPI
2025-11-18,08:09:41,BG-20251118-02449,Cancelled by Driver,CUST107172,Bike,Seshadripuram,Marathahalli,,,0,,1,The customer was coughing/sick,0,,,,,,Cash
2025-11-12,07:01:27,BG-20251112-02450,Successful,CUST102515,Mini,Koramangala 4th Block,Rajajinagar 2,7.7,5.6,0,,0,,0,,98.89,3.42,4.6,5.0,Cash
2025-11-08,17:56:50,BG-20251108-02451,Cancelled by Customer,CUST102129,Auto,Jakkur,Koramangala,,,1,Change of plans,0,,0,,,,,,UPI
2025-11-08,18:55:22,BG-20251108-02452,Successful,CUST104576,Prime Plus,Srirampura,HSR Layout,8.8,4.7,0,,0,,0,,103.31,3.19,4.7,4.2,UPI
2025-11-18,18:56:24,BG-20251118-02453,Successful,CUST104697,Bike,Adugodi,Adugodi,2.8,1.6,0,,0,,0,,26.54,1.09,4.6,3.5,UPI
2025-11-28,11:08:01,BG-20251128-02454,Successful,CUST102023,Prime Plus,Bellandur,Jayanagar,5.5,5.2,0,,0,,0,,93.25,1.17,5.0,3.9,Cash
2025-11-30,23:13:57,BG-20251130-02455,Cancelled by Driver,CUST104805,Prime SUV,Yelahanka New Town,Srirampura,,,0,,1,More than permitted people in there,0,,,,,,Wallet
2025-11-20,12:35:12,BG-20251120-02456,Cancelled by Driver,CUST103310,Bike,Cunningham Road,Adugodi,,,0,,1,More than permitted people in there,0,,,,,,UPI
2025-11-30,20:15:43,BG-20251130-02457,Cancelled by Customer,CUST101350,Prime Plus,Jayanagar,HSR Layout,,,1,AC is not working,0,,0,,,,,,Wallet
2025-11-15,22:59:50,BG-20251115-02458,Successful,CUST101093,Bike,Vijayanagar,Electronic City,2.3,3.0,0,,0,,0,,28.28,1.38,4.9,5.0,Wallet
2025-11-27,22:26:10,BG-20251127-02459,Successful,CUST100560,eBike,Kudlu Gate,Indiranagar,5.7,2.9,0,,0,,0,,19.8,0.3,5.0,4.7,Credit Card
2025-11-07,14:38:46,BG-20251107-02460,Successful,CUST104535,eBike,Cunningham Road,Rajankunte,6.3,2.8,0,,0,,0,,24.72,1.57,4.6,4.5,Wallet
2025-11-11,06:10:11,BG-20251111-02461,Successful,CUST106962,eBike,Bommanahalli,Outer Ring Road,4.2,3.0,0,,0,,0,,19.8,0.3,4.7,4.4,Cash
2025-11-20,08:11:20,BG-20251120-02462,Successful,CUST100466,eBike,Richmond Town,Cunningham Road,3.2,3.7,0,,0,,0,,52.85,4.53,4.3,4.9,Credit Card
2025-11-16,13:16:20,BG-20251116-02463,Successful,CUST105994,Prime Plus,Basavanagudi,Basavanagudi,5.8,4.1,0,,0,,0,,117.81,2.74,4.3,4.8,Wallet
2025-11-04,15:52:18,BG-20251104-02464,Successful,CUST103332,Prime Sedan,Bellandur,Bellandur,4.8,1.8,0,,0,,0,,128.08,1.45,4.4,4.3,Credit Card
2025-11-06,11:48:23,BG-20251106-02465,Successful,CUST106598,Prime Plus,Frazer Town,Basavanagudi,9.8,4.2,0,,0,,0,,118.3,4.05,4.5,3.6,Cash
2025-11-26,16:04:53,BG-20251126-02466,Successful,CUST106089,Auto,Shivajinagar,Jayanagar,5.3,3.9,0,,0,,0,,65.56,5.03,4.4,3.7,UPI
2025-11-22,12:49:53,BG-20251122-02467,Cancelled by Driver,CUST106662,Prime SUV,Sahakara Nagar,Rajajinagar 2,,,0,,1,The customer was coughing/sick,0,,,,,,Credit Card
2025-11-26,17:02:38,BG-20251126-02468,Successful,CUST105308,Bike,Nagarbhavi,Byatarayanapura,5.4,3.5,0,,0,,0,,72.87,8.43,4.5,3.1,Credit Card
2025-11-03,22:27:37,BG-20251103-02469,Successful,CUST102281,Mini,Koramangala,Koramangala,3.8,3.5,0,,0,,0,,82.69,2.32,4.3,3.8,Cash
2025-11-09,21:43:02,BG-20251109-02470,Cancelled by Driver,CUST105600,Mini,Koramangala 4th Block,Byatarayanapura,,,0,,1,More than permitted people in there,0,,,,,,Credit Card
2025-11-28,06:08:37,BG-20251128-02471,Successful,CUST104229,Mini,Sommanna Halli,Bellandur,3.8,4.8,0,,0,,0,,84.85,2.33,4.0,4.0,Wallet
2025-11-10,16:24:16,BG-20251110-02472,Cancelled by Customer,CUST105004,Prime Sedan,JP Nagar,Outer Ring Road,,,1,Change of plans,0,,0,,,,,,Wallet
2025-11-14,16:18:26,BG-20251114-02473,Successful,CUST102109,Auto,Kalyan Nagar,Kalyan Nagar,-0.2,2.3,0,,0,,0,,50.7,2.1,5.0,4.4,Wallet
2025-11-11,19:33:49,BG-20251111-02474,Successful,CUST100732,Prime Plus,Sahakara Nagar,Kundalahalli,8.9,3.4,0,,0,,0,,124.55,5.07,4.5,4.3,Wallet
2025-11-18,02:37:56,BG-20251118-02475,Incomplete,CUST102350,Prime Plus,MG Road,Shivajinagar,,,0,,0,,1,Other Issue,,,,,Credit Card
2025-11-22,23:00:06,BG-20251122-02476,Successful,CUST107385,Mini,Sirsi Circle,Electronic City,4.4,5.7,0,,0,,0,,52.46,0.96,4.5,4.2,Wallet
2025-11-12,15:16:46,BG-20251112-02477,Successful,CUST102815,Auto,Basavanagudi,Nagarbhavi,4.1,2.4,0,,0,,0,,103.38,11.18,5.0,4.5,Credit Card
2025-11-23,19:25:18,BG-20251123-02478,Successful,CUST107454,Prime Plus,Cunningham Road,Whitefield 2,6.0,5.2,0,,0,,0,,130.15,3.88,3.7,4.9,Credit Card
2025-11-12,17:32:35,BG-20251112-02479,Cancelled by Customer,CUST104713,Prime Plus,Whitefield,Whitefield 2,,,1,Driver is not moving towards pickup location,0,,0,,,,,,Wallet
2025-11-13,18:42:01,BG-20251113-02480,Cancelled by Driver,CUST107730,Prime Sedan,Basavanagudi,HSR Layout,,,0,,1,More than permitted people in there,0,,,,,,Wallet
2025-11-25,12:43:18,BG-20251125-02481,Incomplete,CUST102251,eBike,Ulsoor,Srirampura,,,0,,0,,1,Vehicle Breakdown,,0.24,,,UPI
2025-11-13,21:27:51,BG-20251113-02482,Cancelled by Driver,CUST107210,Bike,Banaswadi,Rajankunte,,,0,,1,More than permitted people in there,0,,,,,,Credit Card
2025-11-19,08:22:57,BG-20251119-02483,Incomplete,CUST100794,Prime Sedan,Banaswadi,Outer Ring Road,,,0,,0,,1,Vehicle Breakdown,,0.61,,,Cash
2025-11-26,22:50:15,BG-20251126-02484,Incomplete,CUST101693,Prime Sedan,Kudlu Gate,Kalyan Nagar,,,0,,0,,1,Other Issue,,,,,Credit Card
2025-11-19,11:56:53,BG-20251119-02485,Successful,CUST105981,Prime Plus,Bellandur,Yelahanka New Town,5.2,2.2,0,,0,,0,,160.65,6.75,4.1,5.0,UPI
2025-11-23,22:56:40,BG-20251123-02486,Cancelled by Customer,CUST105624,Prime SUV,Bellandur,Sirsi Circle,,,1,Driver asked to cancel,0,,0,,,,,,Cash
2025-11-14,14:50:50,BG-20251114-02487,Cancelled by Customer,CUST104158,Prime SUV,Kalyan Nagar,Yelahanka,,,1,Driver asked to cancel,0,,0,,,,,,Credit Card
2025-11-04,13:18:48,BG-20251104-02488,Successful,CUST102819,Prime Sedan,Outer Ring Road,Outer Ring Road,4.7,2.8,0,,0,,0,,89.38,0.6,4.9,3.9,Cash
2025-11-13,12:36:22,BG-20251113-02489,Successful,CUST107979,Prime Plus,Frazer Town,Whitefield,3.1,4.9,0,,0,,0,,95.27,2.42,4.2,4.0,Wallet
2025-11-08,23:37:18,BG-20251108-02490,Successful,CUST100102,Prime Plus,Lalbagh,Seshadripuram,6.8,5.1,0,,0,,0,,146.36,5.09,4.6,4.5,Cash
2025-11-29,00:12:40,BG-20251129-02491,Cancelled by Customer,CUST102785,Bike,Chamarajpet,Bommanahalli,,,1,Driver is not moving towards pickup location,0,,0,,,,,,Credit Card
2025-11-23,06:42:22,BG-20251123-02492,Cancelled by Driver,CUST105819,Prime Plus,HSR Layout,Malleshwaram,,,0,,1,Customer related issue,0,,,,,,Wallet
2025-11-21,04:48:10,BG-20251121-02493,Cancelled by Driver,CUST102234,Auto,Whitefield 2,Electronic City,,,0,,1,Personal & Car related issues,0,,,,,,Wallet
2025-11-23,19:43:55,BG-20251123-02494,Cancelled by Driver,CUST103659,Mini,Kundalahalli,Bellandur,,,0,,1,Customer related issue,0,,,,,,Credit Card
2025-11-19,00:06:04,BG-20251119-02495,Successful,CUST104880,Prime Sedan,Nagarbhavi,Yelahanka New Town,6.3,4.6,0,,0,,0,,208.55,8.24,4.4,4.0,Credit Card
2025-11-12,15:48:41,BG-20251112-02496,Cancelled by Customer,CUST103858,Prime Sedan,Jakkur,Shivajinagar,,,1,Driver is not moving towards pickup location,0,,0,,,,,,Cash
2025-11-18,05:29:57,BG-20251118-02497,Successful,CUST104137,Auto,Bellandur,Yelahanka,6.2,4.0,0,,0,,0,,47.84,1.34,5.0,4.4,Credit Card
2025-11-06,09:02:15,BG-20251106-02498,Successful,CUST103749,Mini,Jayanagar,Yeshwanthpur,5.4,4.8,0,,0,,0,,85.89,3.82,4.9,5.0,Cash
2025-11-18,12:51:40,BG-20251118-02499,Cancelled by Driver,CUST105171,Bike,Whitefield,Indiranagar,,,0,,1,Personal & Car related issues,0,,,,,,Credit Card
2025-11-19,13:06:16,BG-20251119-02500,Incomplete,CUST107715,Prime Plus,Vijayanagar,Basavanagudi,,,0,,0,,1,Vehicle Breakdown,,2.59,,,Wallet
2025-11-22,04:28:25,BG-20251122-02501,Incomplete,CUST107078,Prime SUV,Sommanna Halli,Sahakara Nagar,,,0,,0,,1,Customer Demand,,,,,Wallet
2025-11-05,02:12:19,BG-20251105-02502,Incomplete,CUST106480,Prime Sedan,Shivajinagar,Domlur,,,0,,0,,1,Customer Demand,,,,,Wallet
2025-11-24,22:04:32,BG-20251124-02503,Cancelled by Driver,CUST102968,Bike,Srirampura,JP Nagar,,,0,,1,Personal & Car related issues,0,,,,,,Cash
2025-11-09,11:40:29,BG-20251109-02504,Successful,CUST104466,Prime Sedan,Yelahanka New Town,Peenya,2.8,3.5,0,,0,,0,,139.13,2.56,5.0,4.1,Cash
2025-11-27,04:24:23,BG-20251127-02505,Successful,CUST105408,Prime Sedan,Whitefield 2,Kundalahalli,5.3,2.1,0,,0,,0,,161.78,5.19,4.5,3.4,Cash
2025-11-03,21:41:37,BG-20251103-02506,Cancelled by Driver,CUST101321,Auto,Jayanagar,Frazer Town,,,0,,1,Personal & Car related issues,0,,,,,,Credit Card
2025-11-28,02:54:07,BG-20251128-02507,Successful,CUST103396,Prime Plus,Banaswadi,Electronic City,5.9,2.0,0,,0,,0,,112.53,3.97,4.2,4.2,Wallet
2025-11-10,13:02:20,BG-20251110-02508,Successful,CUST101411,Prime Plus,Chamarajpet,Hombegowda Nagar,3.6,1.9,0,,0,,0,,104.9,3.04,4.3,5.0,Cash
2025-11-19,21:39:07,BG-20251119-02509,Successful,CUST100851,Prime Plus,Bellandur,Byatarayanapura,4.8,3.8,0,,0,,0,,150.26,6.51,4.9,4.7,Credit Card
2025-11-03,23:36:41,BG-20251103-02510,Successful,CUST102120,Mini,Ulsoor,Adugodi,6.0,3.3,0,,0,,0,,140.99,7.72,4.6,4.2,Credit Card
2025-11-29,05:27:22,BG-20251129-02511,Successful,CUST103226,Prime Plus,Chamarajpet,Banashankari,8.0,3.3,0,,0,,0,,81.03,0.65,4.9,5.0,Wallet
2025-11-29,18:47:23,BG-20251129-02512,Successful,CUST107221,Bike,Hombegowda Nagar,Whitefield 2,3.0,3.3,0,,0,,0,,63.45,4.26,4.4,4.9,Wallet
2025-11-22,02:12:08,BG-20251122-02513,Cancelled by Driver,CUST107740,Prime SUV,Bommanahalli,Bommanahalli,,,0,,1,Customer related issue,0,,,,,,Credit Card
2025-11-15,13:20:02,BG-20251115-02514,Cancelled by Customer,CUST102452,Bike,Yelahanka,Marathahalli,,,1,Driver asked to cancel,0,,0,,,,,,UPI
2025-11-01,23:34:13,BG-20251101-02515,Cancelled by Customer,CUST102083,Prime SUV,Adugodi,JP Nagar,,,1,Wrong Address,0,,0,,,,,,Wallet
2025-11-07,06:56:57,BG-20251107-02516,Successful,CUST104453,Auto,Byatarayanapura,Kalyan Nagar,3.3,3.5,0,,0,,0,,51.62,4.36,4.5,4.5,UPI
2025-11-12,21:57:44,BG-20251112-02517,Successful,CUST104120,Prime Sedan,Ulsoor,Ulsoor,4.3,2.6,0,,0,,0,,168.12,5.99,4.3,4.7,Cash
2025-11-17,03:41:53,BG-20251117-02518,Cancelled by Customer,CUST101318,Bike,Sadashivanagar,Sadashivanagar,,,1,Driver asked to cancel,0,,0,,,,,,UPI
2025-11-30,00:25:59,BG-20251130-02519,Successful,CUST100527,Prime Plus,Koramangala 4th Block,Sirsi Circle,6.9,-0.1,0,,0,,0,,68.2,1.17,4.7,4.8,Wallet
2025-11-21,14:08:13,BG-20251121-02520,Cancelled by Driver,CUST104404,Mini,Domlur,Electronic City,,,0,,1,Customer related issue,0,,,,,,Credit Card
2025-11-26,04:12:47,BG-20251126-02521,Successful,CUST101212,Prime Plus,Rajajinagar,Hebbal,5.7,2.7,0,,0,,0,,129.92,5.41,4.4,5.0,Cash
2025-11-29,22:27:59,BG-20251129-02522,Cancelled by Driver,CUST101354,Bike,Sadashivanagar,Sadashivanagar,,,0,,1,Customer related issue,0,,,,,,UPI
2025-11-24,10:43:18,BG-20251124-02523,Successful,CUST107893,Prime Sedan,Sommanna Halli,Cunningham Road,9.3,3.9,0,,0,,0,,115.27,2.0,4.7,4.3,Cash
2025-11-20,02:05:23,BG-20251120-02524,Successful,CUST105226,Prime Plus,Koramangala,Koramangala,3.9,2.1,0,,0,,0,,77.84,0.4,4.6,4.6,Cash
2025-11-05,13:49:37,BG-20251105-02525,Successful,CUST103051,Prime Sedan,Outer Ring Road,Byatarayanapura,2.4,2.9,0,,0,,0,,178.93,6.64,4.2,4.6,UPI
2025-11-04,07:53:59,BG-20251104-02526,Successful,CUST102419,eBike,Srirampura,Sadashivanagar,3.4,2.5,0,,0,,0,,25.62,1.27,4.7,4.8,UPI
2025-11-28,22:31:00,BG-20251128-02527,Cancelled by Customer,CUST104893,Mini,Srirampura,Yeshwanthpur,,,1,Change of plans,0,,0,,,,,,Credit Card
2025-11-12,03:41:25,BG-20251112-02528,Successful,CUST105965,eBike,Whitefield,Electronic City,4.9,4.2,0,,0,,0,,21.06,0.51,4.8,3.9,Credit Card
2025-11-30,03:02:53,BG-20251130-02529,Incomplete,CUST101443,Prime Plus,Whitefield,JP Nagar,,,0,,0,,1,Customer Demand,,,,,Cash
2025-11-20,06:18:14,BG-20251120-02530,Successful,CUST106740,eBike,Shivajinagar,Koramangala 4th Block,4.3,4.6,0,,0,,0,,40.27,2.32,4.5,4.3,Wallet
2025-11-28,09:56:14,BG-20251128-02531,Successful,CUST106517,Prime Plus,Kengeri,Indiranagar,5.6,3.4,0,,0,,0,,146.54,5.43,4.1,3.8,Cash
2025-11-24,01:11:42,BG-20251124-02532,Successful,CUST107039,Auto,Hebbal,Bommanahalli,3.1,2.0,0,,0,,0,,43.41,0.43,4.9,3.7,UPI
2025-11-18,06:13:11,BG-20251118-02533,Successful,CUST102193,Prime SUV,Shivajinagar,Hombegowda Nagar,5.8,4.1,0,,0,,0,,238.44,5.93,5.0,4.3,UPI
2025-11-17,01:16:51,BG-20251117-02534,Successful,CUST101071,Auto,Byatarayanapura,Yelahanka New Town,2.3,3.4,0,,0,,0,,51.83,1.66,5.0,3.7,Cash
2025-11-19,02:36:12,BG-20251119-02535,Successful,CUST102480,eBike,Hebbal,Hebbal,4.7,2.5,0,,0,,0,,31.02,2.17,4.8,4.8,Credit Card
2025-11-09,06:45:12,BG-20251109-02536,Successful,CUST103251,Auto,Banashankari,Seshadripuram,3.2,3.6,0,,0,,0,,44.69,3.86,5.0,4.9,Credit Card
2025-11-04,03:54:40,BG-20251104-02537,Successful,CUST106564,eBike,Bommanahalli,Byatarayanapura,3.8,4.1,0,,0,,0,,26.37,1.63,4.4,4.9,UPI
2025-11-26,22:23:38,BG-20251126-02538,Cancelled by Customer,CUST105135,Prime SUV,Jakkur,Adugodi,,,1,Change of plans,0,,0,,,,,,Wallet
2025-11-21,05:47:54,BG-20251121-02539,Successful,CUST107632,Mini,Malleshwaram,Sirsi Circle,7.5,3.5,0,,0,,0,,102.56,4.63,5.0,3.9,Cash
2025-11-02,17:22:17,BG-20251102-02540,Successful,CUST106873,Prime Sedan,Whitefield,Marathahalli,5.1,3.9,0,,0,,0,,117.91,1.84,4.2,4.9,Cash
2025-11-04,20:31:54,BG-20251104-02541,Incomplete,CUST104935,Bike,Banashankari,Yeshwanthpur,,,0,,0,,1,Other Issue,,,,,Wallet
2025-11-02,00:26:37,BG-20251102-02542,Successful,CUST107339,Prime Plus,Domlur,Gottigere,4.8,6.7,0,,0,,0,,74.95,2.29,4.2,4.5,UPI
